Location ID,Suburb,Address,Post Code,GPS Lat,GPS Long,Job ID,Field Technician ID
1,Main Beach,Tedder and Lennie Avenue,4217,-28.0011707,153.4283167,L001375AU1-400-25334,5241
2,Nerang,"Weedens Nerang Gilston Roads
93000019166",4211,-28.0005089,153.3277694,L001503AU1-399-27453,5467
3,Stapylton,55 Burnside Road,4207,-27.7506633,153.2470787,L001584AU1-398-27639,29535
4,Mermaid Beach,6 Seagull Avenue,4218,-28.06029562,153.4407026,L001706AU1-398-25932,5258
5,Main Beach,28 Lennie Avenue,4217,-27.97706288,153.4243605,L001727AU1-399-25491,5241
6,Main Beach,2/28 Lennie Avenue,4217,-27.97706288,153.4243605,L001738AU1-400-26497,5241
7,Paradise Point,14 King Charles Drive,4217,-27.87403921,153.4081262,L001776AU1-397-1111091302,29535
8,Paradise Point,14 King Charles Drive,4217,-27.87403921,153.4081262,L001776AU1-397-1111091305,29535
9,Beaudesert,64 Brisbane Street,4285,-27.9890692,152.9959574,L001865AU1-398-1111171026,29535
10,Sovereign Island,6 King Charles Drive,4216,-27.8741186,153.4070593,L001870AU1-400-29594,29535
11,Broadbeach,16 Queensland Avenue,4218,-28.0271464,153.4326081,L001894AU1-397-7244,5258
12,Southport,Ferry Road and Drury Avenue,4215,-27.9673072,153.4145154,L001933AU1-397-1615,5320
13,Hope Island,2321 Cressbrook Drive,4212,-27.8714,153.3381779,L001973AU1-398-30042,29535
14,Labrador,26 Bath Street,4215,-27.93850844,153.4059198,L001980AU1-400-31040,5467
15,Mermaid Beach,1 Wave  Street,4218,-28.0570144,153.4411222,L002031AU1-398-31274,5629
16,Southport,Sapium Road,4215,-27.9673072,153.4145154,L002047AU1-400-31340,5237
17,Currumbin,28 Tomewin Street,4223,-28.13555627,153.4880853,L002528AU1-399-1170,1049
18,Robina,34-36 Glenferrie Drive,4226,-28.0642217,153.4018191,L003333AU1-399-1791,5237
19,Biggera Waters,3 Parr Street,4216,-27.9329544,153.4062859,L003447AU1-397-1906,29535
20,Bilinga,34 Pacific Parade,4225,-28.1651684,153.5208735,L003493AU1-397-6652,5629
21,Robina,34-36 Glenferrie Drive,4226,-28.0642217,153.4018191,L003547AU1-399-960,5237
22,Southport,60 Ridgeway Avenue,4215,-27.98411953,153.4041112,L003549AU1-397-954,29535
23,Paradise Point,9 Erroll Avenue,4216,-27.88873113,153.3962748,L003751AU1-398-449,29535
24,Surfers Paradise,41 Cavill Avenue,4217,-28.001808,153.4284536,L003994AU1-398-1437,5241
25,Biggera Waters,Biggera Waters,4216,-27.8335086,153.4213208,L004469AU1-397-23680,29535
26,Broadbeach,Hooker Boulevarde,4218,-28.0364102,153.4176229,L004758AU1-400-23768,5237
27,Surfers Paradise,13 Cavill Avenue,4217,-28.0020201,153.4295178,L004759AU1-398-24159,5241
28,Main Beach,32 Hughes Avenue,4217,-27.97788934,153.4246338,L004944AU1-400-24343,5467
29,Broadbeach,2 Elizabeth Avenue,4218,-28.0306876,153.4342526,M005264AU1-397-2348,5258
30,Surfers Paradise,34 Hanlan Street,4217,-28.00312299,153.4297778,M005605AU1-397-2592,5241
31,Main Beach,15 Pacific Street,4217,-27.98212399,153.4278635,M005725AU1-398-2683,5467
32,Main Beach,15 Pacific Street,4217,-27.98212399,153.4278635,M005725AU1-400-2683,5241
33,Surfers Paradise,3343 Gold Coast Highway,4217,-27.9958642,153.4276743,M006026AU1-397-2901,5241
34,Surfers Paradise,3343 Gold Coast Highway,4217,-27.9958642,153.4276743,M006026AU1-399-2901,5241
35,Surfers Paradise,3051 Gold Coast Highway,4217,-28.0054369,153.4280733,M006044AU1-397-2915,5241
36,Surfers Paradise,3051 Gold Coast Highway,4217,-28.0054369,153.4280733,M006044AU1-399-2915,5258
37,Surfers Paradise,3051 Gold Coast Highway,4217,-28.0054369,153.4280733,M006044AU1-400-1111291050,5258
38,Burleigh Heads,2 Goodwin Terrace,4220,-28.090182,153.4571747,M006058AU1-397-2927,5629
39,Burleigh Heads,2 Goodwin Terrace,4220,-28.090182,153.4571747,M006058AU1-399-2927,5629
40,Labrador,224 Marine Parade,4215,-27.95150866,153.4092805,M006313AU1-399-3130,29535
41,Burleigh Heads,22 Goodwin Terrace,4220,-28.09002512,153.4561474,M006343AU1-400-3156,5629
42,Southport,40 Nerang and Scarborough Streets,4215,-27.9673072,153.4145154,M006524AU1-400-3319,5467
43,Burleigh Heads,82 The Esplanade and Second Avenue,4220,-28.0731517,153.4440146,M006677AU1-397-3460,5629
44,Burleigh Heads,82 The Esplanade and Second Avenue,4220,-28.0731517,153.4440146,M006677AU1-399-3460,5629
45,Burleigh Heads,166 The Esplanade,4220,-28.0802477,153.4482839,M006694AU1-399-3473,5629
46,Coolangatta,32 Powell Crescent,4225,-28.16763973,153.5337407,M006765AU1-397-3537,1049
47,Coolangatta,32 Powell Crescent,4225,-28.16763973,153.5337407,M006765AU1-400-3537,1049
48,Surfers Paradise,9-11 Garfield Terrace,4217,-28.0127966,153.431923,M006771AU1-397-3541,5258
49,Surfers Paradise,9-11 Garfield Terrace,4217,-28.0127966,153.431923,M006771AU1-399-3541,5258
50,Surfers Paradise,29 Northcliffe Terrace,4217,-28.0077583,153.4312969,M006911AU1-398-3671,5258
51,Surfers Paradise,29 Northcliffe Terrace,4217,-28.0077583,153.4312969,M006911AU1-400-3671,5258
52,Tweed Heads,Florence Street,2485,-28.1754507,153.5395358,M007587AU1-397-4367,1049
53,Tweed Heads,Florence Street,2485,-28.1754507,153.5395358,M007587AU1-399-4367,1049
54,Surfers Paradise,46 Cavill Avenue,4217,-28.00160298,153.427182,M008017AU1-397-4815,5241
55,Surfers Paradise,46 Cavill Avenue,4217,-28.00160298,153.427182,M008017AU1-399-4815,5258
56,Surfers Paradise,1 Peninsular Drive,4217,-28.006848,153.4229057,M008057AU1-398-4850,5241
57,Surfers Paradise,150 The Esplanade,4217,-28.0045258,153.4175183,M008065AU1-397-4857,5467
58,Surfers Paradise,150 The Esplanade,4217,-28.0045258,153.4175183,M008065AU1-399-4857,5241
59,Miami,40 Marine Parade,4220,-28.06698909,153.4439173,M008077AU1-397-4869,5629
60,Miami,40 Marine Parade,4220,-28.06698909,153.4439173,M008077AU1-399-4869,5629
61,Burleigh Heads,35 Connor Street,4220,-28.0903017,153.4516396,M008086AU1-397-4876,5629
62,Surfers Paradise,60 The Esplanade,4217,-28.00558398,153.4179549,M008093AU1-398-4884,5241
63,Surfers Paradise,11 Riverview Parade,4217,-27.9981163,153.4267001,M008095AU1-397-4886,5241
64,Surfers Paradise,20 Old Burleigh Road,4217,-28.0140079,153.4314083,M008099AU1-397-4890,5241
65,Surfers Paradise,20 Old Burleigh Road,4217,-28.0140079,153.4314083,M008099AU1-400-4890,5629
66,Surfers Paradise,37 Monaco Street,4217,-28.0176985,153.428851,M008140AU1-397-4930,5258
67,Surfers Paradise,37 Monaco Street,4217,-28.0176985,153.428851,M008140AU1-398-4930,5258
68,Surfers Paradise,37 Monaco Street,4217,-28.0176985,153.428851,M008140AU1-399-4930,5629
69,Surfers Paradise,38 Orchid Avenue,4217,-27.999021,153.4293628,M008152AU1-398-4942,5241
