xID,Tech,Activity Date/Time,Activity,Job,Lat,Long
LOCATION-1275165,1049,8/11/2011 8:31,LOCATION,,-28.10950606,153.4661869
LOCATION-1275342,1049,8/11/2011 9:01,LOCATION,,-28.16767497,153.5401511
LOCATION-1275524,1049,8/11/2011 9:31,LOCATION,,-28.16440731,153.5504064
LOCATION-1275654,1049,8/11/2011 10:01,LOCATION,,-28.1643288,153.5504613
LOCATION-1275908,1049,8/11/2011 10:31,LOCATION,,-28.16788225,153.5387693
LOCATION-1276100,1049,8/11/2011 11:01,LOCATION,,-28.16792265,153.5387848
LOCATION-1276506,1049,8/11/2011 12:01,LOCATION,,-28.17230202,153.5435581
LOCATION-1276715,1049,8/11/2011 12:31,LOCATION,,-28.1722942,153.5435572
LOCATION-1276923,1049,8/11/2011 13:01,LOCATION,,-28.1722991,153.5435683
STATUS-947152,1049,8/11/2011 13:28,On Site,M007587AU1-397-4367,-28.17723193,153.5449462
STATUS-947151,1049,8/11/2011 13:28,Accepted,M007587AU1-397-4367,-28.17723193,153.5449462
LOCATION-1277129,1049,8/11/2011 13:31,LOCATION,,-28.17723193,153.5449462
STATUS-947302,1049,8/11/2011 13:56,Suspended,M007587AU1-397-4367,-28.17733317,153.5456481
LOCATION-1277501,1049,8/11/2011 14:31,LOCATION,,-28.16481803,153.5479394
LOCATION-1277676,1049,8/11/2011 15:01,LOCATION,,-28.16490284,153.5480553
LOCATION-1277810,1049,8/11/2011 15:31,LOCATION,,-28.16837446,153.5381196
LOCATION-1277927,1049,8/11/2011 16:01,LOCATION,,-28.16807352,153.536111
LOCATION-1278023,1049,8/11/2011 16:31,LOCATION,,-28.09497538,153.4522627
STATUS-948934,1049,9/11/2011 9:23,Accepted,M093057AU1-397-26724,-28.08532944,153.425648
LOCATION-1279472,1049,9/11/2011 9:44,LOCATION,,-28.25168416,153.5581113
STATUS-949054,1049,9/11/2011 9:52,On Site,M093057AU1-397-26724,-28.27635115,153.5762784
STATUS-949083,1049,9/11/2011 9:57,Completed,M093057AU1-397-26724,-28.27646859,153.5763578
STATUS-949169,1049,9/11/2011 9:58,On Site,M092888AU1-397-25696,-28.27647463,153.5763593
STATUS-949111,1049,9/11/2011 9:58,Accepted,M092888AU1-397-25696,-28.2764731,153.5763583
STATUS-949202,1049,9/11/2011 10:19,Accepted,M092887AU1-397-27724,-28.27596073,153.5768591
STATUS-949201,1049,9/11/2011 10:19,Suspended,M092888AU1-397-25696,-28.27596073,153.5768591
STATUS-949203,1049,9/11/2011 10:20,On Site,M092887AU1-397-27724,-28.27596073,153.5768591
STATUS-949220,1049,9/11/2011 10:27,Suspended,M092887AU1-397-27724,-28.2760686,153.5784658
STATUS-949287,1049,9/11/2011 10:39,Accepted,M092354AU1-397-25495,-28.27777084,153.5771785
STATUS-949288,1049,9/11/2011 10:40,On Site,M092354AU1-397-25495,-28.27776182,153.5771837
LOCATION-1279860,1049,9/11/2011 10:44,LOCATION,,-28.27780605,153.5771664
STATUS-949389,1049,9/11/2011 11:08,Completed,M092354AU1-397-25495,-28.27809689,153.5776614
LOCATION-1280077,1049,9/11/2011 11:14,LOCATION,,-28.27698153,153.5759987
LOCATION-1280287,1049,9/11/2011 11:44,LOCATION,,-28.2584315,153.5819384
LOCATION-1280498,1049,9/11/2011 12:14,LOCATION,,-28.25841454,153.5818941
LOCATION-1280646,1049,9/11/2011 12:44,LOCATION,,-28.25513102,153.5596227
STATUS-950029,1049,9/11/2011 13:12,On Site,M092887AU1-397-27724,-28.16794574,153.5390397
STATUS-950030,1049,9/11/2011 13:12,Completed,M092887AU1-397-27724,-28.16794574,153.5390397
STATUS-950052,1049,9/11/2011 13:12,On Site,M092888AU1-397-25696,-28.16794574,153.5390397
STATUS-950053,1049,9/11/2011 13:13,Completed,M092888AU1-397-25696,-28.16794574,153.5390397
LOCATION-1280914,1049,9/11/2011 13:14,LOCATION,,-28.16826027,153.5391374
STATUS-950232,1049,9/11/2011 13:40,On Site,M051139AU1-397-4339,-28.16783928,153.5381681
STATUS-950212,1049,9/11/2011 13:40,Accepted,M051139AU1-397-4339,-28.16783468,153.5381622
LOCATION-1281105,1049,9/11/2011 13:44,LOCATION,,-28.16785913,153.5381734
STATUS-950266,1049,9/11/2011 13:50,Suspended,M051139AU1-397-4339,-28.16786429,153.5381806
LOCATION-1281290,1049,9/11/2011 14:14,LOCATION,,-28.17379167,153.5428749
LOCATION-1281458,1049,9/11/2011 14:44,LOCATION,,-28.20035784,153.544822
LOCATION-1281612,1049,9/11/2011 15:14,LOCATION,,-28.18684627,153.5395729
LOCATION-1281736,1049,9/11/2011 15:44,LOCATION,,-28.1678302,153.5404642
LOCATION-1281842,1049,9/11/2011 16:14,LOCATION,,-28.16782649,153.5407226
STATUS-950979,1049,9/11/2011 16:41,Suspended,M051139AU1-397-4339,-28.08924856,153.4528211
STATUS-950980,1049,9/11/2011 16:42,On Site,M051139AU1-397-4339,-28.0826289,153.4476862
STATUS-950997,1049,9/11/2011 16:43,Suspended,M051139AU1-397-4339,-28.07762198,153.4457615
LOCATION-1281925,1049,9/11/2011 16:44,LOCATION,,-28.07432513,153.44456
LOCATION-1283008,1049,10/11/2011 8:46,LOCATION,,-28.16816968,153.5372922
STATUS-952013,1049,10/11/2011 9:16,On Site,M093323AU1-397-27188,-28.1747423,153.5435691
STATUS-952012,1049,10/11/2011 9:16,Accepted,M093323AU1-397-27188,-28.17470928,153.5435676
LOCATION-1283261,1049,10/11/2011 9:16,LOCATION,,-28.17472656,153.5435684
STATUS-952034,1049,10/11/2011 9:20,Completed,M093323AU1-397-27188,-28.1747568,153.5435519
LOCATION-1283450,1049,10/11/2011 9:46,LOCATION,,-28.19587206,153.543921
LOCATION-1283649,1049,10/11/2011 10:16,LOCATION,,-28.16474754,153.5477649
STATUS-952362,1049,10/11/2011 10:40,On Site,M051110AU1-397-3802,-28.16480894,153.5479449
STATUS-952361,1049,10/11/2011 10:40,Accepted,M051110AU1-397-3802,-28.16480894,153.5479449
LOCATION-1283847,1049,10/11/2011 10:46,LOCATION,,-28.16496444,153.5480961
LOCATION-1284049,1049,10/11/2011 11:16,LOCATION,,-28.16482053,153.5479965
LOCATION-1284261,1049,10/11/2011 11:46,LOCATION,,-28.17242609,153.5435098
LOCATION-1284477,1049,10/11/2011 12:16,LOCATION,,-28.17951749,153.5477097
STATUS-952827,1049,10/11/2011 12:45,Completed,M051110AU1-397-3802,-28.17947231,153.5477051
LOCATION-1284682,1049,10/11/2011 12:46,LOCATION,,-28.1800408,153.5468273
LOCATION-1284885,1049,10/11/2011 13:16,LOCATION,,-28.16859932,153.542974
STATUS-953062,1049,10/11/2011 13:29,Accepted,M006765AU1-397-3537,-28.16795222,153.5332964
STATUS-953063,1049,10/11/2011 13:29,On Site,M006765AU1-397-3537,-28.16794336,153.5333043
STATUS-953102,1049,10/11/2011 13:39,Suspended,M006765AU1-397-3537,-28.16800896,153.5333205
LOCATION-1285077,1049,10/11/2011 13:46,LOCATION,,-28.16804311,153.5333929
STATUS-953199,1049,10/11/2011 13:55,Completed,M006765AU1-397-3537,-28.16779711,153.5333961
STATUS-953177,1049,10/11/2011 13:55,On Site,M006765AU1-397-3537,-28.16779309,153.5333992
LOCATION-1285265,1049,10/11/2011 14:16,LOCATION,,-28.16783685,153.5383355
LOCATION-1285444,1049,10/11/2011 14:46,LOCATION,,-28.16776518,153.5383706
LOCATION-1285600,1049,10/11/2011 15:16,LOCATION,,-28.16798423,153.5385259
STATUS-953654,1049,10/11/2011 15:26,On Site,M051139AU1-397-4339,-28.16797411,153.5385242
LOCATION-1285731,1049,10/11/2011 15:46,LOCATION,,-28.16823476,153.5372615
LOCATION-1285844,1049,10/11/2011 16:16,LOCATION,,-28.16764302,153.5281593
LOCATION-1285927,1049,10/11/2011 16:46,LOCATION,,-28.04300126,153.4066228
STATUS-953871,1049,10/11/2011 16:51,Suspended,M051139AU1-397-4339,-28.03034221,153.4035092
LOCATION-1286101,1049,10/11/2011 19:06,LOCATION,,-27.96779826,153.4264464
LOCATION-1286117,1049,10/11/2011 19:36,LOCATION,,-27.99521707,153.4286392
LOCATION-1286998,1049,11/11/2011 9:10,LOCATION,,-28.17205603,153.543605
LOCATION-1287168,1049,11/11/2011 9:40,LOCATION,,-28.16834012,153.5385001
STATUS-954849,1049,11/11/2011 9:47,On Site,M009384AU1-397-1,-28.16837252,153.5384445
STATUS-954848,1049,11/11/2011 9:47,Accepted,M009384AU1-397-1,-28.16837213,153.5384446
LOCATION-1287356,1049,11/11/2011 10:10,LOCATION,,-28.17158995,153.5400415
STATUS-954947,1049,11/11/2011 10:27,Completed,M009384AU1-397-1,-28.17160649,153.5400092
STATUS-954949,1049,11/11/2011 10:27,On Site,M090885AU1-397-22715,-28.17160866,153.54001
STATUS-954948,1049,11/11/2011 10:27,Accepted,M090885AU1-397-22715,-28.17160824,153.5400109
LOCATION-1287532,1049,11/11/2011 10:40,LOCATION,,-28.16773418,153.5401854
STATUS-955124,1049,11/11/2011 11:06,Completed,M090885AU1-397-22715,-28.16773652,153.5402491
STATUS-955125,1049,11/11/2011 11:07,On Site,M051139AU1-397-4339,-28.16773726,153.5402427
LOCATION-1287711,1049,11/11/2011 11:10,LOCATION,,-28.16774497,153.5402343
STATUS-955222,1049,11/11/2011 11:28,Suspended,M051139AU1-397-4339,-28.24907868,153.5555411
STATUS-955224,1049,11/11/2011 11:29,On Site,M093605AU1-397-27658,-28.25671187,153.5598313
STATUS-955223,1049,11/11/2011 11:29,Accepted,M093605AU1-397-27658,-28.25330805,153.5594291
LOCATION-1287905,1049,11/11/2011 11:40,LOCATION,,-28.23831068,153.5665379
LOCATION-1288096,1049,11/11/2011 12:10,LOCATION,,-28.25560714,153.576607
LOCATION-1288292,1049,11/11/2011 12:40,LOCATION,,-28.25863862,153.5819673
LOCATION-1288477,1049,11/11/2011 13:10,LOCATION,,-28.2586489,153.5820068
STATUS-955702,1049,11/11/2011 13:29,Completed,M093605AU1-397-27658,-28.25659885,153.5786832
STATUS-955703,1049,11/11/2011 13:29,Accepted,M093649AU1-397-27189,-28.25659365,153.578691
STATUS-955704,1049,11/11/2011 13:29,On Site,M093649AU1-397-27189,-28.25659276,153.5786923
LOCATION-1288652,1049,11/11/2011 13:40,LOCATION,,-28.25657469,153.5787253
STATUS-955777,1049,11/11/2011 13:42,Completed,M093649AU1-397-27189,-28.25657469,153.5787253
STATUS-955790,1049,11/11/2011 13:43,On Site,M051139AU1-397-4339,-28.25657469,153.5787253
LOCATION-1288816,1049,11/11/2011 14:10,LOCATION,,-28.17228958,153.5430206
STATUS-956054,1049,11/11/2011 14:31,Suspended,M051139AU1-397-4339,-28.16438976,153.5497862
LOCATION-1288960,1049,11/11/2011 14:40,LOCATION,,-28.16532017,153.5446347
LOCATION-1289126,1049,11/11/2011 15:10,LOCATION,,-28.16539475,153.5446143
LOCATION-1289236,1049,11/11/2011 15:40,LOCATION,,-28.16823138,153.5375183
LOCATION-1289311,1049,11/11/2011 16:10,LOCATION,,-28.12340809,153.4740511
